#
# psql -h helsten.dsl.xmission.com -d lossrecovery
# -c "select alpha2,alpha3,name from oft_ref.iso639_list 
#     where lang2='en' order by alpha2;"
# -o ISO639.txt 
#
 aa     | aar    | Afar
 kl     | kal    | Kalaallisut; Greenlandic
 km     | khm    | Khmer
 kn     | kan    | Kannada
 ko     | kor    | Korean
 kr     | kau    | Kanuri
 ks     | kas    | Kashmiri
 ku     | kur    | Kurdish
 kv     | kom    | Komi
 kw     | cor    | Cornish
 ky     | kir    | Kirghiz
 la     | lat    | Latin
 lb     | ltz    | Luxembourgish; Letzeburgesch
 lg     | lug    | Ganda
 li     | lim    | Limburgan; Limburger; Limburgish
 ln     | lin    | Lingala
 lo     | lao    | Lao
 lt     | lit    | Lithuanian
 lu     | lub    | Luba-Katanga
 lv     | lav    | Latvian
 mg     | mlg    | Malagasy
 mh     | mah    | Marshallese
 mi     | mao    | Maori
 mk     | mac    | Macedonian
 ml     | mal    | Malayalam
 mn     | mon    | Mongolian
 mo     | mol    | Moldavian
 mr     | mar    | Marathi
 ms     | may    | Malay
 mt     | mlt    | Maltese
 my     | bur    | Burmese
 na     | nau    | Nauru
 nb     | nob    | Norwegian Bokmål; Bokmål, Norwegian
 nd     | nde    | Ndebele, North; North Ndebele
 ne     | nep    | Nepali
 ng     | ndo    | Ndonga
 nl     | dut    | Dutch; Flemish
 nn     | nno    | Norwegian Nynorsk; Nynorsk, Norwegian
 no     | nor    | Norwegian
 nr     | nbl    | Ndebele, South; South Ndebele
 nv     | nav    | Navajo; Navaho
 ny     | nya    |  Chichewa; Chewa; Nyanja
 oc     | oci    | Occitan (post 1500); Provençal
 oj     | oji    | Ojibwa
 om     | orm    | Oromo
 or     | ori    | Oriya
 os     | oss    | Ossetian; Ossetic
 pa     | pan    | Panjabi; Punjabi
 pi     | pli    | Pali
 pl     | pol    | Polish 
 ps     | pus    | Pushto
 pt     | por    | Portuguese 
 qu     | que    | Quechua
 rm     | roh    | Raeto-Romance
 rn     | run    | Rundi
 ro     | rum    | Romanian
 ru     | rus    | Russian
 rw     | kin    | Kinyarwanda
 sa     | san    | Sanskrit
 sc     | srd    | Sardinian
 sd     | snd    | Sindhi
 se     | sme    | Northern Sami
 sg     | sag    | Sango
 si     | sin    | Sinhala; Sinhalese
 sk     | slo    | Slovak
 sl     | slv    | Slovenian
 sm     | smo    | Samoan 
 sn     | sna    | Shona
 so     | som    | Somali
 sq     | alb    | Albanian
 sr     | scc    | Serbian
 ss     | ssw    | Swati
 st     | sot    | Sotho, Southern 
 su     | sun    | Sundanese 
 sv     | swe    | Swedish
 sw     | swa    | Swahili
 ta     | tam    | Tamil
 te     | tel    | Telugu
 tg     | tgk    | Tajik
 th     | tha    | Thai
 ti     | tir    | Tigrinya
 tk     | tuk    | Turkmen
 tl     | tgl    | Tagalog
 tn     | tsn    | Tswana
 to     | ton    | Tonga (Tonga Islands)
 tr     | tur    | Turkish
 ts     | tso    | Tsonga
 tt     | tat    | Tatar 
 tw     | twi    | Twi
 ty     | tah    | Tahitian
 ug     | uig    | Uighur; Uyghur
 uk     | ukr    | Ukrainian
 ur     | urd    | Urdu
 uz     | uzb    | Uzbek
 ve     | ven    | Venda 
 vi     | vie    | Vietnamese
 vo     | vol    | Volapük
 wa     | wln    | Walloon
 wo     | wol    | Wolof
 xh     | xho    | Xhosa
 yi     | yid    | Yiddish
 yo     | yor    | Yoruba
 za     | zha    | Zhuang; Chuang
 zh     | chi    | Chinese
 zu     | zul    | Zulu
        | mwr    | Marwari
        | myn    | Mayan languages
        | myv    | Erzya
        | nah    | Nahuatl
        | nai    | North American Indian
        | nap    | Neapolitan
        | nds    | Low German; Low Saxon; German, Low; Saxon, Low
        | new    | Newari; Nepal Bhasa
        | nia    | Nias
        | nic    | Niger-Kordofanian (Other)
        | niu    | Niuean
        | nog    | Nogai
        | non    | Norse, Old
        | nso    | Northern Sotho, Pedi; Sepedi
        | nub    | Nubian languages
        | nwc    | Classical Newari; Old Newari; Classical Nepal Bhasa
        | nym    | Nyamwezi
        | nyn    | Nyankole
        | nyo    | Nyoro
        | nzi    | Nzima
        | osa    | Osage
        | ota    | Turkish, Ottoman (1500-1928)
        | oto    | Otomian languages
        | paa    | Papuan (Other)
        | pag    | Pangasinan
        | pal    | Pahlavi
        | pam    | Pampanga
        | pap    | Papiamento
        | pau    | Palauan
        | peo    | Persian, Old (ca.600-400 B.C.)
        | phi    | Philippine (Other)
        | phn    | Phoenician
        | pon    | Pohnpeian
        | pra    | Prakrit languages
        | pro    | Provençal, Old (to 1500)
        | raj    | Rajasthani
        | rap    | Rapanui 
        | rar    | Rarotongan
        | roa    | Romance (Other)
        | rom    | Romany
        | rup    | Aromanian; Arumanian; Macedo-Romanian
        | sad    | Sandawe
        | sah    | Yakut
        | sai    | South American Indian (Other)
        | sal    | Salishan languages 
        | sam    | Samaritan Aramaic
        | sas    | Sasak
        | sat    | Santali
        | scn    | Sicilian
        | sco    | Scots
        | sel    | Selkup
        | sem    | Semitic (Other) 
        | sga    | Irish, Old (to 900) 
        | sgn    | Sign Languages
        | shn    | Shan 
        | sid    | Sidamo
        | sio    | Siouan languages 
        | sit    | Sino-Tibetan (Other)
        | sla    | Slavic (Other)
        | sma    | Southern Sami
        | smi    | Sami languages (Other) 
        | smj    | Lule Sami
        | smn    | Inari Sami
        | sms    | Skolt Sami
        | snk    | Soninke 
        | sog    | Sogdian
        | son    | Songhai
        | srr    | Serer
        | ssa    | Nilo-Saharan (Other)
        | suk    | Sukuma
        | sus    | Susu
        | sux    | Sumerian
        | syr    | Syriac
        | tai    | Tai (Other)
        | tem    | Timne
        | ter    | Tereno
        | tet    | Tetum
        | tig    | Tigre
        | tiv    | Tiv
        | tkl    | Tokelau
        | tlh    | Klingon; tlhIngan-Hol
        | tli    | Tlingit
        | tmh    | Tamashek
        | tog    | Tonga (Nyasa) 
        | tpi    | Tok Pisin
        | tsi    | Tsimshian
        | tum    | Tumbuka
        | tup    | Tupi languages
        | tut    | Altaic (Other)
        | tvl    | Tuvalu
        | tyv    | Tuvinian
        | udm    | Udmurt
        | uga    | Ugaritic
        | umb    | Umbundu
        | und    | Undetermined 
        | vai    | Vai
        | vot    | Votic
        | wak    | Wakashan languages
        | wal    | Walamo
        | war    | Waray
        | was    | Washo
        | wen    | Sorbian languages
        | xal    | Kalmyk
        | yao    | Yao
        | yap    | Yapese
        | ypk    | Yupik languages
        | zap    | Zapotec
        | zen    | Zenaga
        | znd    | Zande
        | zun    | Zuni
        | ace    | Achinese
        | ach    | Acoli
        | ada    | Adangme
        | ady    | Adyghe; Adygei
        | afa    | Afro-Asiatic (Other)
        | afh    | Afrihili
        | ain    | Ainu
        | akk    | Akkadian
        | ale    | Aleut
        | alg    | Algonquian languages
        | alt    | Southern Altai
        | ang    | English, Old (ca.450-1100)
        | anp    | Angika
        | apa    | Apache languages
        | arc    | Aramaic
        | arn    | Araucanian
        | arp    | Arapaho
        | art    | Artificial (Other)
        | arw    | Arawak
        | ast    | Asturian; Bable
        | ath    | Athapascan languages
        | aus    | Australian languages
        | awa    | Awadhi
        | bad    | Banda
        | bai    | Bamileke languages
        | bal    | Baluchi
        | ban    | Balinese
        | bas    | Basa
        | bat    | Baltic (Other)
        | bej    | Beja
        | bem    | Bemba
        | ber    | Berber (Other)
        | bho    | Bhojpuri
        | bik    | Bikol
        | bin    | Bini
        | bla    | Siksika
        | bnt    | Bantu (Other)
        | bra    | Braj
        | btk    | Batak (Indonesia)
        | bua    | Buriat
        | bug    | Buginese
        | byn    | Blin; Bilin
        | cad    | Caddo
        | cai    | Central American Indian (Other)
        | car    | Carib
        | cau    | Caucasian (Other)
        | ceb    | Cebuano
        | cel    | Celtic (Other)
        | chb    | Chibcha 
        | chg    | Chagatai
        | chk    | Chuukese
        | chm    | Mari
        | chn    | Chinook jargon
        | cho    | Choctaw
        | chp    | Chipewyan
        | chr    | Cherokee
        | chy    | Cheyenne
        | cmc    | Chamic languages
        | cop    | Coptic
        | cpe    | Creoles and pidgins, English based (Other)
        | cpf    | Creoles and pidgins, French-based (Other)
        | cpp    | Creoles and pidgins, Portuguese-based (Other)
        | crh    | Crimean Tatar; Crimean Turkish
        | crp    | Creoles and pidgins (Other)
        | csb    | Kashubian
        | cus    | Cushitic (Other)
        | dak    | Dakota
        | dar    | Dargwa
        | day    | Dayak
        | del    | Delaware
        | den    | Slave (Athapascan)
        | dgr    | Dogrib
        | din    | Dinka
        | doi    | Dogri
        | dra    | Dravidian (Other)
        | dsb    | Lower Sorbian
        | dua    | Duala
        | dum    | Dutch, Middle (ca.1050-1350)
        | dyu    | Dyula
        | efi    | Efik
        | egy    | Egyptian (Ancient)
        | eka    | Ekajuk
        | elx    | Elamite
        | enm    | English, Middle (1100-1500)
        | ewo    | Ewondo
        | fan    | Fang
        | fat    | Fanti
        | fil    | Filipino; Pilipino
        | fiu    | Finno-Ugrian (Other)
        | fon    | Fon
        | frm    | French, Middle (ca.1400-1600)
        | fro    | French, Old (842-ca.1400)
        | frr    | Northern Frisian
        | frs    | Eastern Frisian
        | fur    | Friulian
        | gaa    | Ga
        | gay    | Gayo
        | gba    | Gbaya
        | gem    | Germanic (Other)
        | gez    | Geez
        | gil    | Gilbertese
        | gmh    | German, Middle High (ca.1050-1500)
        | goh    | German, Old High (ca.750-1050)
        | gon    | Gondi
        | gor    | Gorontalo
        | got    | Gothic
        | grb    | Grebo
        | grc    | Greek, Ancient (to 1453)
        | gsw    | Alemanic; Swiss German
        | gwi    | Gwich´in
        | hai    | Haida
        | haw    | Hawaiian
        | hil    | Hiligaynon
        | him    | Himachali
        | hit    | Hittite
        | hmn    | Hmong
        | hsb    | Upper Sorbian
        | hup    | Hupa
        | iba    | Iban
        | ijo    | Ijo
        | ilo    | Iloko
        | inc    | Indic (Other)
        | ine    | Indo-European (Other)
        | inh    | Ingush
        | ira    | Iranian (Other)
        | iro    | Iroquoian languages
        | jbo    | Lojban
        | jpr    | Judeo-Persian
        | jrb    | Judeo-Arabic
        | kaa    | Kara-Kalpak
        | kab    | Kabyle
        | kac    | Kachin
        | kam    | Kamba
        | kar    | Karen
        | kaw    | Kawi
        | kbd    | Kabardian
        | kha    | Khasi
        | khi    | Khoisan (Other)
        | kho    | Khotanese
        | kmb    | Kimbundu
        | kok    | Konkani
        | kos    | Kosraean
        | kpe    | Kpelle
        | krc    | Karachay-Balkar
        | krl    | Karelian
        | kro    | Kru
        | kru    | Kurukh
        | kum    | Kumyk
        | kut    | Kutenai
        | lad    | Ladino
        | lah    | Lahnda
        | lam    | Lamba
        | lez    | Lezghian
        | lol    | Mongo
        | loz    | Lozi
        | lua    | Luba-Lulua
        | lui    | Luiseno
        | lun    | Lunda
        | luo    | Luo (Kenya and Tanzania)
        | lus    | lushai
        | mad    | Madurese
        | mag    | Magahi
        | mai    | Maithili
        | mak    | Makasar
        | man    | Mandingo
        | map    | Austronesian (Other)
        | mas    | Masai
        | mdf    | Moksha
        | mdr    | Mandar
        | men    | Mende
        | mga    | Irish, Middle (900-1200)
        | mic    | Mi'kmaq; Micmac
        | min    | Minangkabau
        | mis    | Miscellaneous languages
        | mkh    | Mon-Khmer (Other)
        | mnc    | Manchu
        | mni    | Manipuri
        | mno    | Manobo languages 
        | moh    | Mohawk
        | mos    | Mossi
        | mul    | Multiple languages
        | mun    | Munda languages
        | mus    | Creek
        | mwl    | Mirandese

